id	filename	md5	size	state
177806d1-239b-43c9-9bfe-dc88db424560	177806d1-239b-43c9-9bfe-dc88db424560/78c6c5aa-3692-4cfe-884e-dc4644cb1888.wxs.aliquot_ensemble_masked.maf.gz	2b991a5b0723d88cc43297538f6481c4	31606	validated
178c2716-c283-418b-9dcc-a046fed3def0	178c2716-c283-418b-9dcc-a046fed3def0/9ecf7c16-e4ea-41e3-87a2-6b3316096bda.wxs.aliquot_ensemble_masked.maf.gz	cb47e6da747171f428ba06fb7bb2f15a	50192	validated
1790a1ad-de72-45c4-bb54-069a5b7d3017	1790a1ad-de72-45c4-bb54-069a5b7d3017/6556aad0-1fed-4933-aea8-7720ecb09345.wxs.aliquot_ensemble_masked.maf.gz	8affda784835a24a72277ee5750c31fe	27643	validated
17cc538d-64b4-49ff-8aba-0131f545f1af	17cc538d-64b4-49ff-8aba-0131f545f1af/2273e2f5-1efb-490f-9d0e-e7c56259435f.wxs.aliquot_ensemble_masked.maf.gz	3fb1278083cd0ef3bb2dbe4057e2ae7b	55065	validated
184507d2-9822-413b-a360-98c2f68b5168	184507d2-9822-413b-a360-98c2f68b5168/90cc7d46-a51d-4b66-98e5-6e51be3ed146.wxs.aliquot_ensemble_masked.maf.gz	f2249cba924b23da63cae49605f011b9	54824	validated
18c789d6-6ba3-4e70-bc33-ade2895c0ecf	18c789d6-6ba3-4e70-bc33-ade2895c0ecf/c1896146-cf51-4878-b53b-54e85554defe.wxs.aliquot_ensemble_masked.maf.gz	55347df0f5469853d2e2fbf0f5d1c59d	44523	validated
19226306-3479-4ea2-8c7a-37203d5aea1d	19226306-3479-4ea2-8c7a-37203d5aea1d/a4b39ac4-c7c9-487e-b24e-c642e3feab06.wxs.aliquot_ensemble_masked.maf.gz	3051f22ce1e2be2b31b5abab7cc92ef4	24454	validated
193c5118-4540-4473-9751-b60089bb9ddb	193c5118-4540-4473-9751-b60089bb9ddb/559e0079-b649-493d-ad03-2ba15b628794.wxs.aliquot_ensemble_masked.maf.gz	594bfee44af17395fba8f5a201bda542	41088	validated
1a52e257-86e7-4a49-94f8-54f4c0a92147	1a52e257-86e7-4a49-94f8-54f4c0a92147/f1516541-831d-4978-bf29-aa82c13c112d.wxs.aliquot_ensemble_masked.maf.gz	2ec7708abe2aa24eed9179c3c02b9acf	81276	validated
1a5c8054-7693-4064-9fc4-362e0d38cf3c	1a5c8054-7693-4064-9fc4-362e0d38cf3c/1efc6f36-871d-4491-a65d-927732dd8ba4.wxs.aliquot_ensemble_masked.maf.gz	0c0dedd57c6d949ce075f7dc78bf5857	69362	validated
1ab093d4-1b67-448d-9254-323f48d0c6c7	1ab093d4-1b67-448d-9254-323f48d0c6c7/20e4fcea-202d-4f56-80ce-3b2298d201b9.wxs.aliquot_ensemble_masked.maf.gz	7533613c2ef8eaffbe193c74445a74cc	52672	validated
1b382070-4c04-4a23-8bca-d9ee36c53d47	1b382070-4c04-4a23-8bca-d9ee36c53d47/56269774-d821-420c-8c43-a22111babcc5.wxs.aliquot_ensemble_masked.maf.gz	b5fe3603b854383c15519e2fb39a1b96	44965	validated
1bb6d3d1-1100-4eba-a2fc-b9dbc11371fa	1bb6d3d1-1100-4eba-a2fc-b9dbc11371fa/4515aa57-5caa-4583-96c6-8a16c86850ab.wxs.aliquot_ensemble_masked.maf.gz	abb056b9af6173c9b8a0de54f1c49b2e	41080	validated
1c2d7325-2936-4c5e-85be-68c19f852c4b	1c2d7325-2936-4c5e-85be-68c19f852c4b/20dc6f64-7c33-4ff7-8b2f-101688b38cc0.wxs.aliquot_ensemble_masked.maf.gz	ef9a214ceb86f5a3db93e306c7346597	20644	validated
1c563f29-5007-45b2-b634-69d9b9824ab5	1c563f29-5007-45b2-b634-69d9b9824ab5/f3e60a7a-c467-450c-b4fc-8b9b2d7add0e.wxs.aliquot_ensemble_masked.maf.gz	430e1ed8c1585a2db3b8a6d8910a696c	166947	validated
